city;lat;lng;country;iso2;admin_name;capital;population;population_proper
Jakarta;-62.146;1.068.451;Indonesia;ID;Jakarta;primary;34540000;10154134
Surabaya;-72.458;1.127.378;Indonesia;ID;Jawa Timur;admin;4975000;4975000
Bandung;-69.500;1.075.667;Indonesia;ID;Jawa Barat;admin;2394873;2394873
Bekasi;-62.333;1.070.000;Indonesia;ID;Jawa Barat;;2381053;2381053
Tangerang;-61.783;1.066.319;Indonesia;ID;Jawa Barat;;2237006;2237006
Medan;36.667;986.667;Indonesia;ID;Sumatera Utara;admin;2210625;2210625
Makassar;-51.331;1.194.136;Indonesia;ID;Sulawesi Selatan;admin;1651146;1651146
Semarang;-69.667;1.104.167;Indonesia;ID;Jawa Tengah;admin;1621384;1621384
Palembang;-29.833;1.047.644;Indonesia;ID;Sumatera Selatan;admin;1452456;1452456
Cilacap;-77.167;1.090.170;Indonesia;ID;Jawa Tengah;minor;1174964;1174964
Bandar Lampung;-54.294;1.052.625;Indonesia;ID;Lampung;admin;1166761;1166761
Padang;-0.9556;1.003.606;Indonesia;ID;Sumatera Barat;admin;914970;914970
Pekanbaru;3,703472222;1.014.500;Indonesia;ID;Riau;admin;855221;855221
Denpasar;-86.667;1.152.167;Indonesia;ID;Bali;admin;834881;834881
Samarinda;-0.5022;1.171.536;Indonesia;ID;Kalimantan Timur;admin;753370;753370
Banjarmasin;-33.333;1.145.833;Indonesia;ID;Kalimantan Selatan;admin;692793;692793
Pontianak;-0.0206;1.093.414;Indonesia;ID;Kalimantan Barat;admin;618388;618388
Serang;-61.200;1.061.503;Indonesia;ID;Banten;admin;613356;613356
Jambi;-15.900;1.036.100;Indonesia;ID;Jambi;admin;602187;602187
Manado;14.931;1.248.413;Indonesia;ID;Sulawesi Utara;admin;461636;461636
Kupang;-101.633;1.235.778;Indonesia;ID;Nusa Tenggara Timur;admin;433970;433970
Yogyakarta;-78.014;1.103.644;Indonesia;ID;Yogyakarta;admin;422732;422732
Jayapura;-25.333;1.407.167;Indonesia;ID;Papua;admin;413283;413283
Mataram;-85.833;1.161.167;Indonesia;ID;Nusa Tenggara Barat;admin;408900;408900
Ambon;-37.050;1.281.700;Indonesia;ID;Maluku;admin;372249;372249
Bengkulu;-37.956;1.022.592;Indonesia;ID;Bengkulu;admin;360495;360495
Palu;-0.8950;1.198.594;Indonesia;ID;Sulawesi Tengah;admin;359350;359350
Kendari;-39.675;1.225.947;Indonesia;ID;Sulawesi Tenggara;admin;331013;331013
Jember;-81.727;1.136.873;Indonesia;ID;Jawa Timur;minor;298585;298585
Majene;-35.336;1.189.660;Indonesia;ID;Sulawesi Barat;minor;272377;37715
Palangkaraya;-22.100;1.139.200;Indonesia;ID;Kalimantan Tengah;admin;249434;249434
Banda Aceh;55.500;953.175;Indonesia;ID;Aceh;admin;235305;235305
Singaraja;-81.152;1.150.944;Indonesia;ID;Bali;minor;234468;133784
Tanjungpinang;6,380555556;1.044.554;Indonesia;ID;Kepulauan Riau;admin;203008;203008
